owner_id,license_plate,brand,color
105842,EDC20B89,Fiat,Azul Claro
104017,FCA61B89,Toyota,Vermelho
105418,ADC81B89,Fiat,Azul Claro
100882,DCF44B89,Chevrolet,Prata
107391,DDF53B89,Honda,Prata
106544,AAE99B89,Chevrolet,Prata
109184,EBE95B89,Fiat,Preto
104138,CAC46B89,Chevrolet,Azul Claro
100247,AEC25B89,Fiat,Preto
107575,DFC23B89,Toyota,Branco
102862,EDF39B89,Chevrolet,Prata
107437,CAE17B89,Fiat,Preto
101229,CAE40B89,Toyota,Prata
102748,ACD24B89,Fiat,Azul Claro
104328,DCE36B89,Toyota,Preto
102946,DFD26B89,Honda,Branco
107184,CBC40B89,VW,Prata
105930,CEB85B89,Chevrolet,Prata
101574,ECB37B89,Chevrolet,Branco
101192,AFC39B89,VW,Preto
109671,CFD47B89,Fiat,Preto
102680,CEB84B89,Fiat,Vermelho
106781,DAD69B89,Chevrolet,Azul Claro
101697,CAB31B89,Fiat,Prata
102931,AAF60B89,Toyota,Preto
107664,DAD12B89,Chevrolet,Azul Claro
107725,EEB59B89,Chevrolet,Azul Claro
108735,BAA90B89,Chevrolet,Azul Claro
101357,BCE78B89,Toyota,Preto
108337,EDB96B89,Fiat,Prata
101227,FCF90B89,VW,Azul Claro
103112,CFB75B89,Honda,Vermelho
103972,DBC16B89,Toyota,Preto
100217,EBF51B89,Honda,Branco
104471,ACD75B89,VW,Prata
104797,ADC53B89,VW,Prata
108975,ECC59B89,Honda,Preto
107274,EFC38B89,Chevrolet,Branco
103844,BCD41B89,Chevrolet,Preto
105552,FDA98B89,Toyota,Branco
100808,EAE38B89,Toyota,Azul Claro
106012,DAA70B89,Fiat,Prata
109246,AAE22B89,Chevrolet,Preto
109384,CDC46B89,VW,Vermelho
103323,AAD16B89,Chevrolet,Vermelho
108987,CDE36B89,Honda,Preto
104353,BAA38B89,Toyota,Vermelho
101170,FDA36B89,Toyota,Prata
105879,ECF61B89,VW,Preto
109480,DBB32B89,Chevrolet,Azul Claro
101200,ADC43B89,Toyota,Vermelho
107200,CEA26B89,Honda,Prata
104163,ABF23B89,VW,Vermelho
106612,BED32B89,Toyota,Branco
100251,AFF88B89,Toyota,Azul Claro
108623,DDA84B89,Toyota,Prata
107182,DAF85B89,Fiat,Branco
101767,CEF33B89,Chevrolet,Preto
109484,BAF66B89,Honda,Branco
107772,CFD48B89,Toyota,Branco
104794,FDB20B89,Fiat,Preto
103583,ADE29B89,Toyota,Prata
109781,FBC89B89,VW,Vermelho
108857,BBA14B89,Fiat,Azul Claro
100820,DAD22B89,VW,Prata
104401,EBA57B89,Toyota,Preto
102235,BCE69B89,VW,Azul Claro
106504,ABA12B89,VW,Prata
108415,ACD32B89,Chevrolet,Prata
101895,CFA88B89,Toyota,Azul Claro
103313,CBB39B89,VW,Branco
103300,DCF32B89,Honda,Branco
108396,ABA81B89,Honda,Preto
106589,EBA76B89,Honda,Vermelho
107855,CDF28B89,Honda,Vermelho
109074,FBF80B89,Honda,Prata
100283,CDB82B89,Honda,Prata
103821,EBD60B89,Toyota,Branco
106619,ABC53B89,Fiat,Preto
104435,BAF78B89,Chevrolet,Branco
103314,EEC13B89,Honda,Vermelho
106505,ECA78B89,VW,Preto
104220,DCE98B89,Fiat,Azul Claro
103402,ABF39B89,Fiat,Preto
101624,CCF93B89,VW,Branco
101985,FDC78B89,Honda,Azul Claro
105102,EBE47B89,Chevrolet,Branco
107360,CDB25B89,VW,Vermelho
105659,BCE24B89,Chevrolet,Azul Claro
109492,ABD73B89,Chevrolet,Branco
107638,DAF72B89,Chevrolet,Vermelho
103682,EBE73B89,Toyota,Branco
108233,AFB53B89,Chevrolet,Preto
102312,CAF32B89,VW,Azul Claro
108666,EDD58B89,VW,Branco
109017,FEA76B89,Chevrolet,Prata
103268,AFA70B89,Honda,Prata
103572,AFA30B89,Chevrolet,Preto
107988,AFD85B89,Honda,Prata
100828,ACB78B89,Honda,Branco
106847,DAE70B89,Honda,Azul Claro
104271,CED80B89,Fiat,Preto
102226,BBD15B89,Fiat,Prata
100795,FAC99B89,Toyota,Azul Claro
102436,FCE15B89,VW,Prata
109043,EFE43B89,Honda,Vermelho
100363,EFC67B89,Toyota,Azul Claro
106052,DBD69B89,Fiat,Prata
101768,BDE19B89,Toyota,Branco
109442,EAC17B89,VW,Vermelho
102032,EEB23B89,VW,Branco
104884,BFB70B89,Chevrolet,Preto
106358,EEB10B89,Fiat,Branco
101060,CAB31B89,Toyota,Preto
108488,FBD39B89,VW,Azul Claro
101837,DEE64B89,VW,Branco
101007,FFC85B89,Toyota,Preto
101710,CEC27B89,Toyota,Prata
103982,FBE76B89,Toyota,Preto
104901,BAA61B89,VW,Vermelho
109709,ABF57B89,Toyota,Prata
109005,DFE47B89,Toyota,Prata
101378,EFE62B89,Chevrolet,Branco
106940,DFF70B89,VW,Prata
100807,DFF79B89,Toyota,Preto
101355,BCE64B89,Honda,Prata
103376,DFA87B89,Honda,Prata
107887,EDE33B89,Toyota,Branco
106027,FFB84B89,Fiat,Preto
100090,FAA27B89,VW,Azul Claro
100013,DBB39B89,Fiat,Prata
107331,DAF88B89,VW,Prata
107536,CDD40B89,VW,Azul Claro
107532,CCC93B89,VW,Prata
106263,EAC88B89,Fiat,Branco
106008,FDD99B89,Chevrolet,Azul Claro
109131,BEB85B89,VW,Prata
102618,BFE16B89,Fiat,Branco
100705,ABA78B89,VW,Vermelho
107090,BFA50B89,Fiat,Vermelho
102928,FDB20B89,VW,Prata
100733,CEE80B89,Toyota,Preto
102660,DEB31B89,Honda,Branco
106356,AFF16B89,Toyota,Azul Claro
104779,ECF92B89,Toyota,Azul Claro
107365,EDE56B89,Toyota,Azul Claro
104564,DBB59B89,Chevrolet,Branco
103720,CBA79B89,Honda,Preto
104983,CBC82B89,VW,Preto
106988,EFE82B89,Honda,Prata
107123,EEB22B89,Chevrolet,Vermelho
100290,FFD70B89,Honda,Prata
108498,CFB37B89,Toyota,Preto
108020,FAC57B89,Honda,Prata
107210,AFA48B89,VW,Vermelho
108763,FDA86B89,Chevrolet,Vermelho
105043,CBE53B89,Chevrolet,Preto
100001,AFE11B89,Honda,Azul Claro
108382,BBE77B89,Fiat,Vermelho
106089,BBA99B89,Toyota,Azul Claro
104836,ABF50B89,Honda,Vermelho
100103,DEB74B89,Chevrolet,Branco
102743,FBF23B89,Honda,Preto
107409,ADB96B89,Toyota,Azul Claro
108460,DCE58B89,Honda,Vermelho
106545,ADC30B89,VW,Preto
102294,DDD25B89,Chevrolet,Vermelho
106393,FEC72B89,Chevrolet,Prata
102153,CDE87B89,Toyota,Vermelho
108219,CDF84B89,Toyota,Prata
108100,CCC28B89,Fiat,Vermelho
106059,BCC96B89,Chevrolet,Prata
108068,EDD87B89,Toyota,Preto
101747,ADD86B89,Fiat,Preto
106392,AFD43B89,Toyota,Vermelho
103595,ABB17B89,Fiat,Vermelho
100204,AAC10B89,Honda,Branco
107742,FFE12B89,Fiat,Prata
105669,FDF67B89,Toyota,Branco
106803,EEE75B89,Fiat,Preto
109154,CAA62B89,Honda,Azul Claro
101084,ACD33B89,Honda,Azul Claro
109606,FAF92B89,Chevrolet,Vermelho
102435,ECF24B89,Toyota,Preto
101026,ABB78B89,Honda,Azul Claro
101338,BDF15B89,Chevrolet,Vermelho
100326,DCC96B89,Chevrolet,Azul Claro
109912,FFD96B89,VW,Preto
107670,CFA14B89,VW,Prata
101323,EFD31B89,Chevrolet,Vermelho
103159,DFF88B89,Toyota,Branco
107132,AAF59B89,Toyota,Preto
101324,EDB26B89,Fiat,Vermelho
107212,CAF74B89,VW,Vermelho
103571,AAE51B89,VW,Branco
104849,BCD52B89,VW,Prata
108390,ADE38B89,VW,Prata
109754,EFD43B89,Honda,Preto
105358,CCB16B89,Chevrolet,Vermelho
108229,BFF38B89,Fiat,Branco
103999,CDC71B89,Fiat,Prata
102714,CAA23B89,Toyota,Branco
102139,EEF39B89,Fiat,Prata
109358,BAF56B89,Chevrolet,Vermelho
107076,AAC85B89,Toyota,Prata
101582,AAE38B89,VW,Azul Claro
107334,CBA65B89,VW,Vermelho
107159,EDE21B89,VW,Preto
109932,FFA11B89,Toyota,Branco
102830,CBF53B89,Chevrolet,Preto
104489,FCA15B89,Fiat,Prata
106221,CAE20B89,Toyota,Vermelho
103194,DED77B89,Chevrolet,Preto
108633,BFC42B89,Toyota,Preto
109648,DAB19B89,Fiat,Azul Claro
107480,FDF57B89,Fiat,Preto
102995,CBC75B89,Chevrolet,Prata
100960,BDD20B89,Fiat,Preto
101290,CDD45B89,VW,Vermelho
108304,EDD31B89,Honda,Branco
100383,DFF53B89,Honda,Branco
107879,ABA95B89,Chevrolet,Vermelho
108665,FDB70B89,Chevrolet,Prata
102448,AAC94B89,VW,Branco
105124,AFD49B89,Fiat,Vermelho
104713,BCE43B89,Toyota,Preto
104089,FCE18B89,Chevrolet,Azul Claro
100787,EAE61B89,Honda,Vermelho
109927,BBE10B89,Toyota,Vermelho
100699,FBC67B89,Fiat,Azul Claro
107328,EDA65B89,Toyota,Branco
101518,EEA62B89,Fiat,Vermelho
109954,BCA70B89,Fiat,Branco
103311,FAB95B89,Honda,Branco
100706,ADF85B89,VW,Azul Claro
106904,CBF97B89,VW,Vermelho
106905,ECE40B89,Toyota,Vermelho
103865,FBF41B89,Honda,Azul Claro
107390,DCE75B89,Fiat,Azul Claro
105869,FCD21B89,Fiat,Preto
108182,FBB73B89,Chevrolet,Preto
105719,DAE48B89,VW,Azul Claro
103353,BDB27B89,Toyota,Branco
108263,FBD13B89,VW,Branco
105940,FEB99B89,Honda,Branco
106864,AFA26B89,VW,Azul Claro
108726,EDB54B89,Fiat,Prata
109458,BAF16B89,Honda,Azul Claro
105416,CBD53B89,VW,Vermelho
106938,BBB76B89,Fiat,Branco
103228,CCA57B89,VW,Branco
102275,BEA20B89,Fiat,Azul Claro
102005,FBB92B89,Toyota,Vermelho
107499,FBD88B89,Chevrolet,Vermelho
108301,ADB54B89,Fiat,Branco
108621,EEF41B89,Fiat,Preto
107588,FFA95B89,Honda,Prata
105116,DFC37B89,VW,Branco
107466,ABB84B89,VW,Branco
107558,BED66B89,VW,Azul Claro
106246,BCC56B89,VW,Preto
104822,FDB89B89,Honda,Prata
101367,CBB51B89,Chevrolet,Azul Claro
101086,DDD25B89,Fiat,Azul Claro
100313,DFD60B89,VW,Azul Claro
105433,DED45B89,Chevrolet,Branco
103150,FEB40B89,Toyota,Prata
100200,DFF62B89,Honda,Branco
107133,DEA19B89,Honda,Preto
103813,BEF13B89,VW,Preto
104159,CEE85B89,Chevrolet,Branco
106869,CBE34B89,Honda,Prata
104708,FBE30B89,Toyota,Branco
107883,FEC58B89,Fiat,Prata
107835,FDA82B89,Toyota,Preto
105730,FFE97B89,VW,Preto
106440,DCA95B89,Chevrolet,Azul Claro
104610,FAF69B89,VW,Azul Claro
109837,BDF26B89,Toyota,Preto
101321,BED84B89,VW,Prata
105748,BCB59B89,Chevrolet,Prata
104812,ECD82B89,Honda,Prata
107653,FCF49B89,Toyota,Branco
109070,CAC93B89,VW,Azul Claro
101961,FDC71B89,Fiat,Preto
105793,EDE23B89,Toyota,Prata
104699,FAE56B89,VW,Branco
102883,FEB80B89,Toyota,Azul Claro
109261,ECD39B89,VW,Prata
106352,EFE17B89,Toyota,Branco
109664,EEC79B89,VW,Azul Claro
100599,CAF62B89,Fiat,Azul Claro
109870,DBC20B89,Honda,Prata
105785,BAB51B89,Fiat,Azul Claro
100810,CBE94B89,VW,Vermelho
103806,BDC80B89,Honda,Azul Claro
102930,DFF64B89,Honda,Vermelho
101449,FAE14B89,Fiat,Branco
107963,BDC86B89,Toyota,Branco
108064,CDB14B89,Honda,Preto
102932,BBD22B89,Toyota,Preto
104249,FBE67B89,Chevrolet,Preto
105071,FFF33B89,VW,Prata
102146,EDE89B89,Toyota,Prata
104417,EBD40B89,Honda,Branco
107985,CDD27B89,Honda,Branco
103887,BAE19B89,Honda,Azul Claro
107975,FCA40B89,VW,Preto
106962,EDA11B89,Fiat,Preto
109721,EAA90B89,VW,Azul Claro
104818,AEA70B89,Honda,Vermelho
103048,CDE72B89,Fiat,Prata
102120,ABE42B89,Honda,Preto
106955,FAE73B89,Chevrolet,Azul Claro
102749,EAF66B89,Honda,Preto
107559,FAE23B89,Toyota,Azul Claro
102173,FBE74B89,Toyota,Preto
104932,BDC32B89,Honda,Preto
108612,DEE51B89,Honda,Prata
104309,FFC28B89,Chevrolet,Prata
106451,FBF99B89,Fiat,Vermelho
101570,FAE37B89,Toyota,Preto
106493,DFD95B89,Honda,Preto
102177,FEF55B89,Honda,Prata
106098,DCB59B89,Honda,Branco
101450,DAF81B89,VW,Branco
109787,CCD54B89,Toyota,Azul Claro
106063,AAD97B89,Honda,Prata
108350,AFD13B89,Chevrolet,Branco
107473,BAB41B89,Fiat,Branco
106555,BFA93B89,Fiat,Prata
105716,FEE39B89,Honda,Azul Claro
102066,AAD37B89,Fiat,Branco
109831,FEE41B89,Chevrolet,Preto
106412,BBC88B89,Fiat,Preto
107080,DDC65B89,VW,Branco
100501,DCC45B89,Fiat,Azul Claro
103990,BFE11B89,Chevrolet,Azul Claro
107240,DEA28B89,Chevrolet,Branco
109504,ADF38B89,Fiat,Vermelho
105394,CFC78B89,Honda,Vermelho
100695,DEA83B89,Chevrolet,Azul Claro
100059,EEF60B89,Fiat,Vermelho
105567,ABB53B89,Honda,Prata
103292,ABB62B89,Fiat,Vermelho
101952,CDD85B89,Chevrolet,Vermelho
101492,ABA97B89,Fiat,Branco
100322,DDA48B89,Fiat,Preto
102197,FEC69B89,Toyota,Vermelho
101261,DCB14B89,Honda,Vermelho
105800,BDD58B89,VW,Vermelho
106042,DCD36B89,VW,Preto
106251,CCA31B89,Honda,Vermelho
106002,FEC60B89,Fiat,Prata
101847,CEE81B89,Honda,Vermelho
103579,ABA85B89,Fiat,Preto
102964,FCA90B89,VW,Preto
103974,CDD24B89,Honda,Vermelho
107543,EEC61B89,Fiat,Vermelho
105654,EDE46B89,VW,Vermelho
102698,BCE39B89,Honda,Azul Claro
106718,EEA31B89,Chevrolet,Vermelho
104569,DDF53B89,Toyota,Branco
101874,EEB21B89,Fiat,Azul Claro
103783,CAF78B89,Honda,Prata
108278,ACA77B89,Toyota,Azul Claro
102988,BCD46B89,Chevrolet,Branco
109545,FBF20B89,Toyota,Prata
102026,FEE52B89,Toyota,Prata
102715,DBB19B89,Chevrolet,Preto
106990,CEC85B89,Honda,Branco
109459,CFA99B89,Fiat,Vermelho
107357,EDF63B89,Toyota,Vermelho
100852,EFA54B89,Toyota,Prata
109172,BFC89B89,Toyota,Prata
104787,CEA73B89,Toyota,Azul Claro
109672,BCE85B89,Chevrolet,Preto
104205,BAA34B89,Honda,Azul Claro
102629,BFD89B89,VW,Preto
102677,FEF44B89,VW,Branco
109716,EFC42B89,Fiat,Preto
109612,EFA93B89,VW,Preto
102518,AEA51B89,Toyota,Azul Claro
100534,FFE39B89,VW,Prata
100563,CAF36B89,VW,Prata
109486,DFE10B89,Fiat,Preto
102647,DEC60B89,Chevrolet,Prata
108632,FCE90B89,Chevrolet,Branco
107371,FEA80B89,Honda,Prata
100194,FAB56B89,Chevrolet,Branco
101862,ABD14B89,Honda,Branco
109854,BFC46B89,Fiat,Vermelho
105363,AAD97B89,VW,Branco
104848,EAF60B89,Fiat,Prata
106908,AEF86B89,Toyota,Branco
100651,CBA75B89,VW,Branco
100101,AEE83B89,Toyota,Prata
101114,FCC55B89,Honda,Vermelho
105811,BEC21B89,Fiat,Prata
109910,EAD69B89,Fiat,Vermelho
102279,ADB27B89,Fiat,Azul Claro
108220,AAD87B89,VW,Prata
107852,ACE25B89,Toyota,Azul Claro
104193,CBA90B89,Toyota,Branco
109855,CFA53B89,Chevrolet,Preto
107753,ADD85B89,Toyota,Prata
107057,FEB58B89,Toyota,Vermelho
106177,FAB16B89,Honda,Azul Claro
106776,DCE83B89,Honda,Preto
107172,BCE22B89,Chevrolet,Preto
103352,FFA52B89,Toyota,Preto
103971,BDA60B89,Toyota,Azul Claro
104385,BEF91B89,Chevrolet,Vermelho
105267,FDB49B89,Toyota,Prata
103824,DFE69B89,Fiat,Azul Claro
109574,BBE52B89,Honda,Prata
103180,BFB68B89,VW,Branco
102323,BFE39B89,Toyota,Preto
100736,BCC25B89,Fiat,Azul Claro
104164,DED15B89,Chevrolet,Vermelho
100621,BBF73B89,Chevrolet,Azul Claro
101087,DBB67B89,VW,Prata
104438,AEB27B89,Toyota,Azul Claro
102923,BFA57B89,Toyota,Azul Claro
108647,AED48B89,VW,Azul Claro
105973,EBF54B89,Fiat,Prata
100476,CDD58B89,Chevrolet,Branco
104007,DCD49B89,Honda,Azul Claro
106584,ABB73B89,Honda,Preto
109393,CED80B89,Fiat,Azul Claro
104248,ACC42B89,Toyota,Vermelho
102706,BDD57B89,Honda,Azul Claro
106540,DBF31B89,Honda,Vermelho
101182,DBE31B89,Chevrolet,Preto
108030,EBB66B89,Fiat,Prata
100126,CAA39B89,Honda,Branco
108523,FCB69B89,Toyota,Azul Claro
109881,AFF69B89,Honda,Branco
105744,CDC10B89,Honda,Prata
100928,FFF24B89,Honda,Azul Claro
103797,BCD97B89,Honda,Vermelho
100123,FDB98B89,VW,Prata
103062,FDE91B89,Chevrolet,Branco
107278,DBE50B89,Chevrolet,Vermelho
102998,BAB28B89,Fiat,Vermelho
107453,FBB88B89,VW,Branco
108844,FFE31B89,Toyota,Azul Claro
108583,CEE31B89,VW,Vermelho
105893,DBE34B89,VW,Prata
100860,CBC21B89,Toyota,Azul Claro
102339,FDD13B89,Toyota,Azul Claro
108538,BDA83B89,Toyota,Azul Claro
103934,CCB27B89,VW,Preto
100853,FBA80B89,Chevrolet,Vermelho
104372,BFE74B89,Honda,Vermelho
107493,CEE39B89,VW,Prata
100708,CDB66B89,Honda,Azul Claro
101591,EBA48B89,Honda,Preto
103332,FCC81B89,Chevrolet,Prata
109928,CBB58B89,Chevrolet,Azul Claro
103698,DDF55B89,Fiat,Branco
108476,ACD24B89,Fiat,Vermelho
107494,AEB16B89,Fiat,Azul Claro
105049,BDF44B89,Toyota,Preto
108930,CFA55B89,Toyota,Azul Claro
101958,FCB73B89,Honda,Prata
100571,CBF18B89,Chevrolet,Prata
102157,BBE58B89,Honda,Azul Claro
103788,ECD67B89,Fiat,Prata
101580,DAE15B89,VW,Azul Claro
104686,ABC42B89,Honda,Branco
107448,FEA92B89,Honda,Branco
102695,EDB58B89,Toyota,Azul Claro
106108,FFC40B89,Toyota,Azul Claro
109847,BFF60B89,Fiat,Branco
108244,EAB90B89,Honda,Preto
102495,DFC67B89,Fiat,Azul Claro
106317,CEB90B89,Honda,Vermelho
109078,FBA54B89,VW,Vermelho
101034,DAD47B89,Chevrolet,Prata
106362,AAC81B89,Toyota,Branco
106373,EAC31B89,VW,Vermelho
108614,AAA50B89,Honda,Preto
107658,EFE25B89,Honda,Azul Claro
109978,BCC75B89,Chevrolet,Branco
101539,EEF71B89,Chevrolet,Prata
108801,AEA31B89,VW,Branco
103624,AAC93B89,Toyota,Vermelho
105927,CCD92B89,Toyota,Vermelho
109891,FBC19B89,Honda,Prata
100361,BFB72B89,VW,Branco
108959,BBA37B89,Honda,Vermelho
101020,BCA88B89,Toyota,Prata
102551,BBA23B89,VW,Prata
103656,DAD24B89,Honda,Azul Claro
107754,AFA39B89,Toyota,Azul Claro
106602,AFD14B89,Chevrolet,Preto
101350,BEF46B89,Chevrolet,Preto
106389,ABE44B89,Chevrolet,Vermelho
107673,FDD74B89,VW,Preto
102578,DCE36B89,Chevrolet,Vermelho
104201,DCE83B89,Fiat,Vermelho
107434,DEA15B89,VW,Azul Claro
105757,FCA95B89,Honda,Branco
104279,DCE92B89,Chevrolet,Branco
106421,CDB74B89,VW,Branco
107921,BBA43B89,VW,Vermelho
107333,CDD56B89,Fiat,Azul Claro
103829,FCF93B89,Fiat,Preto
107235,ADF45B89,Honda,Prata
105923,AAB49B89,Toyota,Preto
107890,BBA46B89,Chevrolet,Preto
101696,DBF34B89,VW,Branco
108694,BFF71B89,Honda,Preto
105841,FBC23B89,Toyota,Preto
105951,BFA46B89,Honda,Branco
109700,BFB35B89,Fiat,Branco
106730,DEA17B89,Toyota,Azul Claro
108904,AAB31B89,VW,Preto
106829,DFF69B89,Fiat,Branco
105482,CEA90B89,Fiat,Prata
108828,CAE85B89,Chevrolet,Branco
100379,ABE69B89,Chevrolet,Prata
102697,CBE73B89,VW,Vermelho
104082,AAA79B89,Chevrolet,Prata
102669,DAF36B89,Chevrolet,Branco
106848,CBB38B89,VW,Vermelho
104583,EAD26B89,Honda,Branco
109250,EFB25B89,Chevrolet,Vermelho
107512,FBF18B89,Fiat,Prata
104399,DAC84B89,Fiat,Preto
103716,CDE81B89,Fiat,Preto
109203,AAE79B89,Fiat,Vermelho
104552,EDC98B89,VW,Prata
108261,FEB88B89,Fiat,Vermelho
102007,CBF30B89,Chevrolet,Prata
109579,CFF19B89,VW,Preto
100162,DEE22B89,VW,Azul Claro
106644,DEA46B89,Chevrolet,Branco
103731,DBE15B89,Honda,Azul Claro
100327,CAF87B89,Chevrolet,Branco
101633,BFE98B89,Chevrolet,Preto
107765,BCD32B89,Fiat,Branco
100523,BDD40B89,Chevrolet,Vermelho
105832,CDA66B89,Toyota,Azul Claro
103043,AAB29B89,Chevrolet,Branco
102480,AEE59B89,Honda,Vermelho
101144,AEA88B89,Toyota,Prata
100127,BFA58B89,Fiat,Azul Claro
107715,ABC47B89,Chevrolet,Preto
105817,FCC70B89,Fiat,Azul Claro
106055,DBE54B89,VW,Preto
108605,CCA89B89,VW,Branco
109470,EAC32B89,Chevrolet,Preto
109985,BBF84B89,Honda,Azul Claro
107157,FEB20B89,Chevrolet,Branco
109989,EBD71B89,Honda,Preto
103713,DAD32B89,Fiat,Prata
109339,EEB98B89,Fiat,Prata
103511,BFF24B89,Honda,Azul Claro
100450,ADA65B89,Fiat,Azul Claro
104212,FED81B89,Honda,Azul Claro
102472,CDC91B89,Chevrolet,Branco
107237,DEA99B89,Fiat,Prata
100088,BDC10B89,Fiat,Azul Claro
107971,DFA91B89,Chevrolet,Preto
104441,DEE64B89,Honda,Branco
108979,ECB60B89,Toyota,Vermelho
101920,CEF10B89,Toyota,Preto
108708,CFE90B89,VW,Branco
105314,CCA85B89,Fiat,Azul Claro
100312,CDD58B89,Fiat,Preto
108829,BDB84B89,VW,Prata
100159,DEE15B89,VW,Branco
103942,DAA62B89,Toyota,Azul Claro
102505,FCF62B89,Chevrolet,Azul Claro
104286,EDD72B89,Toyota,Branco
105331,EDB75B89,VW,Vermelho
106402,EEF82B89,VW,Prata
105926,CAE86B89,Chevrolet,Azul Claro
102897,FED52B89,Fiat,Vermelho
