date,location,crime_type,details
2026-02-02,"Rua Maria Monteiro, 1511 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-23,"Avenida Heitor Penteado, 2008 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Heitor Penteado, 333 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Rua Coronel Quirino, 1456 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Albino José Barbosa de Oliveira, 3322 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 2053 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Heitor Penteado, 959 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Rua Coronel Quirino, 752 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Rua Coronel Quirino, 637 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Avenida Heitor Penteado, 154 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Avenida Heitor Penteado, 2450 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Heitor Penteado, 2816 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Albino José Barbosa de Oliveira, 591 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Avenida Albino José Barbosa de Oliveira, 1411 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Albino José Barbosa de Oliveira, 3046 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-28,"Avenida Albino José Barbosa de Oliveira, 3351 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Avenida Albino José Barbosa de Oliveira, 1950 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Avenida Albino José Barbosa de Oliveira, 405 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Avenida Heitor Penteado, 1547 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Heitor Penteado, 2500 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Avenida Heitor Penteado, 2572 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Heitor Penteado, 2147 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Rua Maria Monteiro, 1407 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Albino José Barbosa de Oliveira, 2944 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-22,"Avenida Heitor Penteado, 1774 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Albino José Barbosa de Oliveira, 1102 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Rua Coronel Quirino, 1158 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Albino José Barbosa de Oliveira, 754 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Rua Maria Monteiro, 1025 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Rua Coronel Quirino, 178 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Avenida Albino José Barbosa de Oliveira, 2762 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-22,"Avenida Albino José Barbosa de Oliveira, 2575 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Avenida Heitor Penteado, 2589 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Heitor Penteado, 2356 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Rua Maria Monteiro, 512 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Albino José Barbosa de Oliveira, 1961 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Rua Coronel Quirino, 1441 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-28,"Avenida Heitor Penteado, 345 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Rua Maria Monteiro, 1047 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 1234 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-15,"Avenida Heitor Penteado, 2356 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Rua Coronel Quirino, 1448 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Avenida Heitor Penteado, 1606 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-20,"Avenida Heitor Penteado, 2984 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Avenida Albino José Barbosa de Oliveira, 1717 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 1947 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Rua Coronel Quirino, 1518 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Rua Coronel Quirino, 1295 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Albino José Barbosa de Oliveira, 1234 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Albino José Barbosa de Oliveira, 1267 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Heitor Penteado, 735 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Avenida Heitor Penteado, 2618 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Heitor Penteado, 1047 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Avenida Albino José Barbosa de Oliveira, 2668 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Rua Coronel Quirino, 1298 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Heitor Penteado, 2736 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Rua Coronel Quirino, 649 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Albino José Barbosa de Oliveira, 1070 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Heitor Penteado, 1990 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Avenida Heitor Penteado, 1438 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Rua Maria Monteiro, 485 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Rua Coronel Quirino, 976 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Rua Maria Monteiro, 90 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-28,"Avenida Heitor Penteado, 702 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Rua Coronel Quirino, 1856 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-27,"Rua Maria Monteiro, 147 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Rua Coronel Quirino, 1959 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-20,"Avenida Heitor Penteado, 2757 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Avenida Albino José Barbosa de Oliveira, 1801 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Rua Maria Monteiro, 873 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Heitor Penteado, 1278 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Avenida Heitor Penteado, 32 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Avenida Heitor Penteado, 839 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Avenida Heitor Penteado, 1951 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Avenida Albino José Barbosa de Oliveira, 2262 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Avenida Albino José Barbosa de Oliveira, 2450 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Rua Maria Monteiro, 699 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Avenida Heitor Penteado, 1435 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 1702 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Avenida Albino José Barbosa de Oliveira, 2775 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-15,"Avenida Albino José Barbosa de Oliveira, 1916 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Rua Maria Monteiro, 478 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Albino José Barbosa de Oliveira, 1755 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Albino José Barbosa de Oliveira, 1232 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-05,"Rua Maria Monteiro, 169 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Avenida Albino José Barbosa de Oliveira, 1415 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Rua Coronel Quirino, 899 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Rua Maria Monteiro, 534 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-23,"Avenida Albino José Barbosa de Oliveira, 361 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Albino José Barbosa de Oliveira, 1476 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Avenida Albino José Barbosa de Oliveira, 1430 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Avenida Heitor Penteado, 1307 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-05,"Rua Coronel Quirino, 208 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Rua Maria Monteiro, 863 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Avenida Heitor Penteado, 1132 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Heitor Penteado, 1087 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Rua Maria Monteiro, 828 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Rua Maria Monteiro, 1483 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Heitor Penteado, 2546 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-28,"Avenida Albino José Barbosa de Oliveira, 854 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Avenida Albino José Barbosa de Oliveira, 3245 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-17,"Avenida Heitor Penteado, 84 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Avenida Heitor Penteado, 430 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Albino José Barbosa de Oliveira, 1019 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-23,"Rua Maria Monteiro, 396 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Rua Coronel Quirino, 1487 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Heitor Penteado, 1722 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Heitor Penteado, 677 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-27,"Avenida Albino José Barbosa de Oliveira, 2633 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Heitor Penteado, 2281 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Avenida Albino José Barbosa de Oliveira, 2035 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Avenida Heitor Penteado, 612 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-15,"Avenida Albino José Barbosa de Oliveira, 1838 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Heitor Penteado, 578 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Avenida Albino José Barbosa de Oliveira, 2466 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Albino José Barbosa de Oliveira, 1956 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-28,"Avenida Heitor Penteado, 1100 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Albino José Barbosa de Oliveira, 1201 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-15,"Avenida Heitor Penteado, 1423 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-17,"Avenida Heitor Penteado, 1039 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-20,"Avenida Albino José Barbosa de Oliveira, 129 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Rua Coronel Quirino, 1987 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Rua Coronel Quirino, 1309 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-17,"Avenida Heitor Penteado, 1423 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Avenida Albino José Barbosa de Oliveira, 2513 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Albino José Barbosa de Oliveira, 1569 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Avenida Albino José Barbosa de Oliveira, 1568 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Avenida Albino José Barbosa de Oliveira, 274 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Rua Maria Monteiro, 1259 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Rua Maria Monteiro, 986 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Heitor Penteado, 32 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Avenida Heitor Penteado, 1948 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Rua Maria Monteiro, 1333 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Avenida Heitor Penteado, 1248 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Rua Maria Monteiro, 54 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 1552 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Avenida Heitor Penteado, 1319 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-02,"Rua Maria Monteiro, 586 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Avenida Heitor Penteado, 338 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Heitor Penteado, 519 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Rua Maria Monteiro, 583 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-22,"Avenida Heitor Penteado, 2725 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Heitor Penteado, 450 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-25,"Rua Coronel Quirino, 947 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Rua Maria Monteiro, 67 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Rua Coronel Quirino, 983 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-24,"Avenida Albino José Barbosa de Oliveira, 2315 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-27,"Rua Maria Monteiro, 964 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-04,"Avenida Heitor Penteado, 1840 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-05,"Rua Maria Monteiro, 1145 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Avenida Albino José Barbosa de Oliveira, 2742 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Avenida Heitor Penteado, 1517 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-26,"Avenida Heitor Penteado, 1405 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Rua Maria Monteiro, 511 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
